
TestCase 	2020.10.06 19:59:44:	 xmlGetAPI.RestAPITestCases

STEP 1	2020.10.06 19:59:44:	Sending GET query
INFO	2020.10.06 19:59:44  xmlGetAPI.RestAPITestCases:	Sending query
INFO	2020.10.06 19:59:46  xmlGetAPI.RestAPITestCases:	Checking response status code
INFO	2020.10.06 19:59:46  xmlGetAPI.models.BooksInitialization:	Initialisation of booksList
INFO	2020.10.06 19:59:46  xmlGetAPI.models.BooksInitialization:	Set books' id
INFO	2020.10.06 19:59:46  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 19:59:46  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 19:59:46  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 19:59:46  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 19:59:46  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 19:59:46  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 19:59:46  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 19:59:46  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 19:59:46  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 19:59:46  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 19:59:46  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 19:59:46  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 19:59:46  xmlGetAPI.models.BooksInitialization:	Fill booksInfoList
INFO	2020.10.06 19:59:46  xmlGetAPI.RestAPITestCases:	Checking that books list is sorted
INFO	2020.10.06 19:59:46  xmlGetAPI.models.BooksInitialization:	Create sortedBooksId list from the original list
INFO	2020.10.06 19:59:46  xmlGetAPI.models.BooksInitialization:	Sort sortedBooksId list

STEP 2	2020.10.06 19:59:46:	Searching for books with max and min prices

TestCase 	2020.10.06 20:05:14:	 xmlGetAPI.RestAPITestCases

STEP 1	2020.10.06 20:05:14:	Sending GET query
INFO	2020.10.06 20:05:14  xmlGetAPI.RestAPITestCases:	Sending query
INFO	2020.10.06 20:05:15  xmlGetAPI.RestAPITestCases:	Checking response status code
INFO	2020.10.06 20:05:15  xmlGetAPI.models.BooksInitialization:	Initialisation of booksList
INFO	2020.10.06 20:05:15  xmlGetAPI.models.BooksInitialization:	Set books' id
INFO	2020.10.06 20:05:15  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 20:05:15  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 20:05:15  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 20:05:15  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 20:05:15  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 20:05:15  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 20:05:15  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 20:05:15  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 20:05:15  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 20:05:15  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 20:05:15  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 20:05:15  xmlGetAPI.models.BooksInitialization:	Add book's id
INFO	2020.10.06 20:05:15  xmlGetAPI.models.BooksInitialization:	Filling out the booksInfoList
INFO	2020.10.06 20:05:16  xmlGetAPI.models.BooksInitialization:	Filling out the booksInfoList
INFO	2020.10.06 20:05:16  xmlGetAPI.RestAPITestCases:	Checking that books list is sorted
INFO	2020.10.06 20:05:16  xmlGetAPI.models.BooksInitialization:	Create sortedBooksId list from the original books' id list
INFO	2020.10.06 20:05:16  xmlGetAPI.models.BooksInitialization:	Sort sortedBooksId list
INFO	2020.10.06 20:05:16  xmlGetAPI.models.BooksInitialization:	Checking that original books' id list is equal to the sorted list

STEP 2	2020.10.06 20:05:16:	Searching for books with max and min prices
INFO	2020.10.06 20:05:16  xmlGetAPI.models.BooksInitialization:	Initialisation of maxPrice, minPrice, maxPriceBook and minPriceBook variables
INFO	2020.10.06 20:05:16  xmlGetAPI.models.BooksInitialization:	Find book's price
INFO	2020.10.06 20:05:16  xmlGetAPI.models.BooksInitialization:	Checking that book's price is max or min
INFO	2020.10.06 20:05:16  xmlGetAPI.models.BooksInitialization:	Find book's price
INFO	2020.10.06 20:05:16  xmlGetAPI.models.BooksInitialization:	Checking that book's price is max or min
INFO	2020.10.06 20:05:16  xmlGetAPI.models.BooksInitialization:	Find book's price
